"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015078562264",1422199,48922409,,"fuzzymatch","Paltock, Robert,",,"London;Printed for T. and J. Allman; [etc., etc.;1816.",1816,1816,"enk","v.1","Voyages, Imaginary",,"The life & adventures of Peter Wilkins"
"mdp.39015078562256",1422199,48922409,,"fuzzymatch","Paltock, Robert,",,"London;Printed for T. and J. Allman; [etc., etc.;1816.",1816,1816,"enk","v.2","Voyages, Imaginary",,"The life & adventures of Peter Wilkins"
"mdp.39015004200997",1774603,14770844,,"fuzzymatch","Shelley, Mary Wollstonecraft,",,"London;G. Routledge & sons, limited;1891.",1891,1817,"enk",,,,"Frankenstein"
"mdp.39015078544494",1422202,2211760,,"fuzzymatch","Paltock, Robert,",,"Boston;Baker & Alexander, R. Colton, printer, Woodstock, Vt.;1828.",1828,1816,"mau","v.2","Voyages, Imaginary",,"The life and adventures of Peter Wilkins"
"dul1.ark+=13960=t6ww82n4s",8961936,12851342,,"taggedsf","Griffith, Mary,",,"Philadelphia;Carey, Lea & Blanchard;1836.",1836,1836,"pau",,"Science fiction, American",,"Camperdown, or, News from our neighbourhood"
"mdp.39015067139173",1802370,19226000,,"fuzzymatch","Verne, Jules,","1828-1905.","Philadelphia|J.E. Potter & co.|n.d.",0,1855,"pau",,,"UnknownGenre","A winter amid the ice, & other thrilling stories. | $c: By Jules Verne..."
"mdp.39015031602868",1015188,2360175,"PZ3.V594J8","fuzzymatch","Verne, Jules,","1828-1905.","New York|Dodd, Mead|1959].",1959,1864,"nyu",,,"Fiction","A journey to the centre of the earth."
"uva.x000889095",9794114,3796471,"PZ3","fuzzymatch","Verne, Jules,",,"New York;D. Appleton & Co.;1869.",1869,1863,"nyu",,"Fiction;Aeronautics",,"Five weeks in a balloon; or, Journeys and discoveries in Africa, by three Englishmen"
"pst.000031470421",9819426,8153151,"PQ2469.F77","fuzzymatch","Verne, Jules,","1828-1905.","Garden City, N.Y.|Nelson Doubleday|ca. 1950].",1950,1865,"xxu",,,"NotFiction","From the earth to the moon ; and Round the moon"
"mdp.39015008026612",1802376,1042659,,"fuzzymatch","Verne, Jules,","1828-1905.","Westport, Conn.|Associated Booksellers|1958",1958,1879,"ctu",,,"UnknownGenre","The Begum's fortune. | [Translated from the French. | $c: Edited by I.O. Evans]"
"mdp.39015004307362",1802393,4633573,,"fuzzymatch","Verne, Jules,",,"Boston;G. M. Smith & co.;New York;Douglass & Myers; [etc., etc.;1873.",1873,1870,"mau",,,,"Twenty thousand leagues under the seas;"
"mdp.39015028719642",1802385,2128244,,"fuzzymatch","Verne, Jules,","1828-1905.","Westport, Conn.|Associated booksellers|c1961",1961,1877,"ctu",,,"UnknownGenre","Black diamonds"
"mdp.39015028795642",1802383,16730277,,"fuzzymatch","Verne, Jules,","1828-1905.","New York|Dover Publications|1960",1960,1877,"nyu",,,"UnknownGenre","Space novels: | To the sun? Off on a comet! | $c: Translated by Edward Roth."
"mdp.39015039618577",1365045,53373193,,"fuzzymatch","Verne, Jules,",,"New York;C. Scribner's sons;1918.",1918,1874,"nyu",,,,"The mysterious island"
"nyp.33433074818778",8658697,10311195,,"taggedsf","Cowan, Frank,",,"Greensburg, Pa.;Tribune Press;188-?",1880,1879,"pau",,"Science fiction, American",,"Revi-Lona"
"pst.000045030307",7062796,1391988,"PZ3.V594Tw57PQ2469","fuzzymatch","Verne, Jules,","1828-1905.","New York|Bantam|1981.",1981,1870,"xxk",,,"NotFiction","20,000 leagues under the sea"
"njp.32101072858242",9009500,7524125,,"fuzzymatch",,,"London;Edinburgh;W. Paterson;1888",1888,1888,"enk","v.5","Short stories, English;Short stories, Scottish",,"Weird tales"
"uc1.b117774",6610336,18939696,,"fuzzymatch","Verne, Jules,",,"London;S. Low, Marston, Searle & Rivington;1887.",1887,1886,"enk",,,,"The clipper of the clouds"
"dul1.ark+=13960=t9m33h56c",6678144,12767085,"PZ3.G8616A","taggedsf","Greg, Percy,",,"London;Tr?_bner;1880.",1880,1880,"enk","v.2","Science fiction, English",,"Across the zodiac"
"uiuo.ark+=13960=t03x8wg41",8719901,19818258,"PZ3.R919Fr5","fuzzymatch","Russell, William Clark,",,"London;S. Low, Marston, Searle, & Rivington;1887.",1887,1887,"enk","v.1",,,"The frozen pirate"
"uc1.$b372446",9457925,10105959,,"oclcid","Jefferies, Richard,",,"London;New York;Cassell;1886.",1886,1885,"enk",,,,"After London, or, Wild England"
"njp.32101072858226",9009500,7524125,,"fuzzymatch",,,"London;Edinburgh;W. Paterson;1888",1888,1888,"enk","v.2","Short stories, English;Short stories, Scottish",,"Weird tales"
"dul1.ark+=13960=t3dz0xh78",6678144,12767085,"PZ3.G8616A","taggedsf","Greg, Percy,",,"London;Tr?_bner;1880.",1880,1880,"enk","v.1","Science fiction, English",,"Across the zodiac"
"uc2.ark+=13960=t9r20w429",7674172,13393303,,"fuzzymatch","Stevenson, Robert Louis,",,"London;Longmans;1901.",1901,1886,"enk",,,,"The strange case of Dr. Jekyll and Mr. Hyde"
"uc1.b3872868",6739439,365332,,"fuzzymatch","Hudson, W. H. (William Henry),","1841-1922.","New York|Doric Books|1949, c1950",1950,1887,"nyu",,,"NotFiction","A crystal age"
"uiuo.ark+=13960=t85h85b3r",8719901,19818258,"PZ3.R919Fr5","fuzzymatch","Russell, William Clark,",,"London;S. Low, Marston, Searle, & Rivington;1887.",1887,1887,"enk","v.2",,,"The frozen pirate"
"njp.32101072858234",9009500,7524125,,"fuzzymatch",,,"London;Edinburgh;W. Paterson;1888",1888,1888,"enk","v.3","Short stories, English;Short stories, Scottish",,"Weird tales"
"dul1.ark+=13960=t66401k8k",5082161,5934716,"HX811 1887.B2","fuzzymatch","Bellamy, Edward,",,"Boston;Ticknor and Co.;1888.",1888,1888,"mau",,"Social problems;Time travel;Utopias;Boston (Mass.);Two thousand, A.D;Fiction",,"Looking backward, 2000-1887"
"uiuo.ark+=13960=t7cr65585",8722974,12076816,,"taggedsf","Corelli, Marie,",,"London;Richard Bentley;1886.",1886,1886,"enk","v.2","Science fiction, English",,"A romance of two worlds"
"nyp.33433074959747",8668181,1883146,,"taggedsf|fuzzymatch","De Mille, James,",,"New York;Harper;1900, c1888.",1888,1888,"nyu",,,,"A strange manuscript found in a copper cylinder"
"mdp.39015063542180",249090,65991401,,"fuzzymatch","Collins, Wilkie,",,"Chicago;Donohue, Henneberry & co.;188-?",1880,1888,"ilu",,,,"The legacy of Cain"
"uc1.32106012646599",7128204,254413093,,"fuzzymatch","Morris, William,",,"London;Lawrence and Bullen;1895.",1895,1894,"   ",,,,"The wood beyond the world"
