"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015061386812",4928622,26848072,,"taggedsf",,,"Harrisonville, Mo.|ESA Publications|1991-",0,1991,"mou","v.1","Fantasy tales, American|Horror tales, American|Middle West|Science fiction, American","Short stories","Best of the Midwest's science fiction, fantasy & horror"
"uc1.b3160554",10034816,,,"fuzzymatch","Moorcock, Michael,","1939-","London|W. H. Allen|1975",0,1975,"enk",,,"UnknownGenre","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1"
"mdp.49015002156868",4481558,441868284,"PZ1.R5PS648.S3","taggedsf",,,"New York|New American Library|c19<79-c1982 >",0,1982,"nyu","v.3","Fredrica Bartz Modern Fiction Collection|Science fiction, English|Science fiction, American","Fiction","The Road to science fiction"
"mdp.39015062850154",5055506,56089578,"PS3563.A8355C642 2003","taggedsf","Matheson, Richard,","1926-","Colorado Springs, CO|Edge Books|c2003-",0,2003,"cou","v.1","Fantasy fiction, American|Science fiction, American","Short stories","Collected stories"
"mdp.49015001363762",4519987,27722980,"PS648.S3O46","taggedsf",,,"Greensboro, N.C.|Omni Books|c1992-",0,1992,"ncu",,"Science fiction, American","Fiction","Omni best science fiction"
"pst.000018452310",8385713,10090700,,"oclcid","Christopher, John,","1922-","New York|Collier Books|1972, c1970.",0,1970,"xx ",1972,,"NotFiction","The guardians"
"mdp.49015001323824",4515591,21334927,"PS3551.S5A6 1990","taggedsf","Asimov, Isaac,","1920-1992.","New York|Doubleday|c1990-<c1992 >",0,1950,"nyu","v.1","Science fiction, American","Fiction","The complete stories of Asimov"
"uc1.32106015120998",5417692,36084558,"PS3569.T875A6 1994","taggedsf","Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1956,"cau","v.5","Science fiction, American","Fiction","The complete stories of Theodore Sturgeon"
"pst.000019717371",7057839,959911,"PZ1.E49CoPS648.S3","taggedsf","Elwood, Roger,",,"New York|Putnam|1974-",0,1974,"xxu","v.1","Science fiction, American","NotFiction","Continuum."
"uc1.b3184273",10041135,,,"fuzzymatch","Smith, E. E. (Edward Elmer),","1890-1965.","Reading, Pennsylvania|Fantasy Press|1948",0,1948,"  u",,,"UnknownGenre","Triplanetary : a tale of cosmic adventure"
"inu.39000000213053",7593903,20168832,"PS648.S3N43 1989","taggedsf",,,"New York|Wynwood Press|c1989-",0,1989,"nyu","v.1","Science fiction, American","Fiction","The New Hugo winners : | award-winning science fiction stories"
"mdp.39015010748443",773944,819576,,"taggedsf","Harrison, Harry,",,"Garden City, N.Y.|Doubleday|1972-",0,1972,"nyu","v.1","Science fiction, American|Science fiction, English","Fiction","The astounding-analog reader, | $c: edited by Harry Harrison [and] Brian W. Aldiss."
"mdp.39015064795126",5276836,45752972,,"taggedsf",,,"New York, N.Y., U.S.A.|ROC|2000-",0,2000,"nyu","v.1","Horror tales|Fiction|20th century|Horror tales, American|Science fiction, American","Short stories|Horror fiction","The best of Cemetery dance"
"pst.000050047673",12269067,5377651,"PZ1.R5PS648.S3","taggedsf",,,"New York|New American Library|c1977-",0,1977,"xxu","no.3","Science fiction, English|Science fiction, American","NotFiction","The Road to science fiction"
"uc1.32106015121020",5417692,36084558,"PS3569.T875A6 1994","taggedsf","Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1952,"cau","v.2","Science fiction, American","Fiction","The complete stories of Theodore Sturgeon"
"mdp.39015008828157",205356,8603600,,"fuzzymatch","Vance, Jack,","1916-","New York|Pocket Books|1977 printing, c1950.",0,1950,"nyu",,,"Fiction","The dying earth"
"mdp.49015002164094",4515591,21334927,"PS3551.S5A6 1990","taggedsf","Asimov, Isaac,","1920-1992.","New York|Doubleday|c1990-<c1992 >",0,1990,"nyu","v.2","Science fiction, American","Fiction","The complete stories"
"mdp.39015031219481",148081,2436751,"PZ1.B3885PR1309.S3","oclcid",,,"London|W. H. Allen|1975-",0,1902,"enk","v.1","19th century|English fiction","Fiction","Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914"
"mdp.39015067139173",1802370,19226000,,"fuzzymatch","Verne, Jules,","1828-1905.","Philadelphia|J.E. Potter & co.|n.d.",0,1855,"pau",,,"UnknownGenre","A winter amid the ice, & other thrilling stories. | $c: By Jules Verne..."
"mdp.39015058074553",1441706,715072,"PS648.S5C37 1977","fuzzymatch",,,"Garden City, N.Y.|Nelson Doubleday|c1973-",0,1973,"nyu","v.5","Magic|Fiction|Short stories, American|Swordsmen|Fantasy fiction, American","Short stories","Flashing swords!"
"mdp.39015053238286",123734,2003526,,"fuzzymatch",,,"New York|Pyramid Books|1975-",0,1975,"nyu","v.1","Fantasy fiction","Fiction","Weird heroes"
"mdp.39015063166436",5208958,51385402,,"taggedsf",,,"Farmingdale, NY|Padwolf Pub.|1998-",0,1998,"nyu","v.1","Detective and mystery stories, American|Fantasy fiction, American|Science fiction, American","Mixed","The Best of pirate writings : | tales of fantasy, mystery & science fiction"
