"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015078566315",1424222,67414474,,"fuzzymatch","Swift, Jonathan,","1667-1745.","London [etc.|Ward, Lock & co., limited|19--",0,1726,"enk",,,"UnknownGenre","Gulliver in Liliput | $c: by Jonathan Swift ... Retold by Edith Robarts. Illustrated in colour."
"mdp.39015078565903",1423810,33191567,,"oclcid","Swift, Jonathan,",,"Glasgow;J. Lumsden & son;1814.",1814,1726,"stk",,,,"The adventures of Captain Gulliver in a voyage to Lilliput"
"mdp.39015078565606",1423817,30869294,,"fuzzymatch","Swift, Jonathan,",,"London;Printed for J. Walker and co. [etc.] by S. Hamilton, Weybridge, Surrey;1815.",1815,1726,"enk",,,,"Gulliver's travels into several remote nations of the world"
"mdp.39015078565812",1423994,67414404,,"fuzzymatch","Swift, Jonathan,",,"New York;The American news company;187-?",1870,1726,"nyu",,,,"Travels into several remote nations of the world. In four parts"
"uc1.$b807329",5900623,27483762,,"fuzzymatch","Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,"pau",,"Utopias;Fiction",,"The Monikins"
"uiuo.ark+=13960=t00z7vf65",1019889,550541,"PZ3.B790P (Office)","fuzzymatch","Bront??, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,"enk","v. 1",,,"The professor"
"uiuo.ark+=13960=t5v70457m",1019889,550541,"PZ3.B790P (Office)","fuzzymatch","Bront??, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,"enk","v. 2",,,"The professor"
"nyp.33433074930086",8664216,6623399,,"fuzzymatch","Bront??, Charlotte,",,"Leipzig;B. Tauchnitz;1857.",1857,1857,"gw ",,,,"The professor"
"uc2.ark+=13960=t17m0k93z",7701214,13315527,,"fuzzymatch","MacDonald, George,",,"Boston;Loring;185-?",1850,1858,"mau",,,,"Phantastes: A faerie romance for men and women"
"nyp.33433074875372",8666116,13311464,,"oclcid","Lytton, Edward Robert Bulwer Lytton,",,"London;Chapman;1863.",1863,1863,"enk","v. 1","English fiction",,"The ring of Amasis"
"nnc1.cr00352934",8412806,82117052,,"taggedfantasy","Kingsley, Charles,",,"New York;Hurst and Co.;1900?].",1900,1863,"nyu",,"Chimney sweeps;Fairies;Juvenile fiction;Fantasy fiction",,"The water-babies"
"mdp.39015031602868",1015188,2360175,"PZ3.V594J8","fuzzymatch","Verne, Jules,","1828-1905.","New York|Dodd, Mead|1959].",1959,1864,"nyu",,,"Fiction","A journey to the centre of the earth."
