docid,recordid,oclc,locnum,includedbc,author,authordate,imprint,inferreddate,place,enumcron,subjects,genres,title
mdp.39015000543937,001376422,104792,PZ3.P3132Tg6PR6031.E183,oclcid,"Peake, Mervyn Laurence,",1911-1968.,London|Eyre & Spottiswoode|1970.,1970,enk,,,Fiction,Titus alone.
mdp.39015031297305,000670942,290041,PZ3.M8265Th,fuzzymatch,"Morley, Christopher,",1890-1957.,"Garden City, New York|Doubleday, Page & Company|1925.",1925,nyu,,,Fiction,Thunder on the left
mdp.39015020747500,000095187,5895438,,fuzzymatch,"Carroll, Lewis,",1832-1898.,New York|Harper|1949.,1949,nyu,,,Fiction,"Alice's adventures in Wonderland & Through the looking glass, | $c: by Lewis Carroll. With illus. by John Tenniel. Afterword by Clifton Fadiman."
mdp.39015053478312,004205619,44914632,PS3561.E5558W9 1999,oclcid,"Kephart, Carolyn Marie,",1951-,"Pittsburgh, PA|SterlingHouse Publisher|c1999.",1999,pau,,,Fiction,Wysard
uc1.$b243659,000670942,290041,PZ3.M8265Th,fuzzymatch,"Morley, Christopher,",1890-1957.,"Garden City, New York|Doubleday, Page & Company|1925.",1925,nyu,,,Fiction,Thunder on the left
pst.000060768315,007496760,133158577,,oclcid,"D'Lacey, Chris.",,New York|Orchard Books|2006,2006,nyu,D623firs 2006,Bears|Boardinghouses|Dragons|Supernatural|Fiction|Authorship,Novel,Fire star
uc1.b3711025,000670942,290041,PZ3.M8265Th,fuzzymatch,"Morley, Christopher,",1890-1957.,"Garden City, New York|Doubleday, Page & Company|1925.",1925,nyu,,,Fiction,Thunder on the left
mdp.39015000543929,001910658,5517614,,fuzzymatch,"Peake, Mervyn Laurence,",1911-1968.,London|Eyre & Spottiswoode|1959.,1959,enk,,,UnknownGenre,Titus alone.
pst.000022105387,007491873,48682587,,fuzzymatch,"Donaldson, Stephen R.",,New York|Ballantine Books|1981.,1980,xxu,,,NotFiction,The wounded land
mdp.39015061468552,004988150,34846648,,taggedfantasy,,,"Elkton, Md.|Triangle Titles|c1996.",1996,mdu,,"Fiction|Gays|Gays' writings, American|Science fiction, American|Flight|Fantasy fiction, American",Short stories,Icarus & angels : | flights of fantasy : gay SF
uc1.b4421720,006237777,6222625,,fuzzymatch,"Bauer, Steven.",,New York|Berkley Pub. Corp. : distributed by Putnam|c1980.,1980,nyu,,,Fiction,"Satyrday, a fable"
mdp.39015063174026,005212569,1342963,,fuzzymatch,"Anthony, Piers.",,New York|Berkley Pub. Corp.|1973.,1973,nyu,,"Human-alien encounters|Fiction|Dentists|Interstellar travel|Science fiction, American",Fiction|Science fiction,Prostho plus
mdp.39015058695399,003898055,10155759,,oclcid,"Cherryh, C. J.",,"Garden City, New York|Nelson Doubleday|c1983.",1983,nyu,,,Novel,Arafel's Saga
mdp.39015054132363,003595014,10948391,PR6051.D345M3 1985,oclcid,"Adams, Richard,",1920-,"New York|Knopf|1985, c1984.",1984,nyu,,,Fiction,Maia
mdp.39015014436094,000289960,10948817,PS3545.I557D3 1984,oclcid,"Williamson, Jack,",1908-2006.,"New York, NY|Bluejay Books|c1984.",1984,nyu,,,Fiction,Darker than you think
mdp.39015066688246,000036222,1727250,PZ3.W67764Dar6PS3545.I557,fuzzymatch,"Williamson, Jack,",1908-2006.,"New York|Garland Pub.|1975, c1948.",1975,nyu,,,Fiction,Darker than you think
pst.000013229504,007056835,4236830,,fuzzymatch,"Bradley, Marion Zimmer.",,New York|Ace Science Fiction books|c1965.,1965,xx ,,,NotFiction,Star of danger
mdp.39015061154822,004735945,24376855,PS3573.O497S48 1991,oclcid,"Wolfe, Chris Anne.",,"Norwich, Vt.|New Victoria Publishers|c1991.",1991,vtu,,Fiction|Amazons|Lesbians,Novel|Fantasy fiction,Shadows of Aggar
mdp.39015056801932,003849201,18916463,,fuzzymatch,"Hodgell, P. C. (Patricia C.)",,"New York|Atheneum|1986], c1985.",1985,nyu,,,Fiction,Dark of the moon
pst.000016174740,007056873,6807713,,fuzzymatch,"Cook, Glen.",,New York|Berkley Books|1979.,1979,xx ,,,NotFiction,A shadow of all night falling
mdp.39015002282633,001419436,41277965,,fuzzymatch,"Carroll, Lewis,",1832-1898.,New York|Macmillan|1960,1960,nyu,,,UnknownGenre,"Alice's adventures in Wonderland, and Through the looking-glass | $c: by Lewis Carroll, pseud."
mdp.39015029711457,002647206,15373360,,fuzzymatch,"Weyman, Stanley John,",1855-1928.,Rahway N. J.|Mershon|n.d.,0,nju,,,Fiction,"The man in black, | $c: by Stanley J. Weyman."
mdp.39015011047274,000249485,10804202,,taggedfantasy,,,New York|Daw Books|1984.,1984,nyu,,Fantasy fiction,Fiction,Sword and sorceress : | an anthology of heroic fantasy
mdp.39015020727908,000213021,2946061,PZ4.B8726Sw 1977PS3552.R6596,fuzzymatch,"Brooks, Terry.",,New York|Random House|c1977.,1977,nyu,,,Fiction,The sword of Shannara
mdp.39015056811998,003849995,14003188,PS3551.B23U5 1987,oclcid,"Abbey, Lynn.",,"New York, N.Y.|Avon|c1987.",1987,nyu,,,Fiction,Unicorn & dragon
inu.30000042743116,008566628,2823808,,fuzzymatch,"Brooks, Terry.",,New York|Ballantine Books|1977.,1977,nyu,,,Fiction,The sword of Shannara
inu.30000021369289,007592423,15539504,,fuzzymatch,"Burroughs, Edgar Rice,",1875-1950.,New York|Ballantine Books|c1963,1963,nyu,,,Fiction,Tarzan the untamed
pst.000021750151,012257133,21262748,,fuzzymatch,"Park, Paul,",1954-,New York|Guild America Books|c1989.,1987,xxu,,,NotFiction,The sugar festival
mdp.39015009061188,000408566,10770350,,taggedfantasy,"MacAvoy, R. A.",,Toronto|New York|Bantam|c1984.,1984,onc,,Fantasy fiction,Fiction,Damiano's lute
mdp.39076000986831,009921000,11763290,,oclcid,"Bradley, Marion Zimmer.",,New York|Ballantine Books|1985.,1985,nyu,,,Fiction,Night's daughter : | a novel
mdp.39015056892634,003854600,50218943,PS3561.E5558L68 2002,oclcid,"Kephart, Carolyn Marie,",1951-,"Pittsburgh, PA|SterlingHouse Publisher|c2002|(2001 printing)",2002,pau,,,Fiction,Lord Brother
mdp.39015005160836,001428120,4897,,fuzzymatch,"Curry, Jane Louise.",,"New York|Harcourt, Brace & World|1969",1969,nyu,,,UnknownGenre,The change-child
mdp.39076000409107,009919866,16090293,,taggedfantasy,"Carroll, Lewis,",1832-1898.,New York|H.N. Abrams|1987.,1987,nyu,,Alice (Fictitious character : Carroll)|Juvenile fiction|Imaginary places|Adventure stories|Fantasy fiction|Girls,Fiction,Alice in Wonderland
mdp.39015054016459,003141870,34473809,PS3557.A22D78 1997,fuzzymatch,"Gabaldon, Diana.",,New York|Delacorte Press|1997.,1997,nyu,,"Charleston|History | Fiction|Colonial period, ca. 1600-1775|Families|Time travel|Fiction|18th century|South Carolina|Scottish Americans|History",Fiction|Historical fiction|Fantastic fiction,Drums of autumn
mdp.39015056228425,003827706,32015746,PS3562.U234S53 1995,oclcid,"Lucas, George,",1944-,New York|Bantam Books|c1995.,1995,nyu,,,Fiction,Shadow moon
mdp.39015058237184,003895878,39980147,PS3552.R4964G74 1998,taggedfantasy,"Britain, Kristen.",,"New York, NY|Daw Books|DAW books distributed by Penguin Putnam|c1998.",1998,nyu,,Fantasy fiction,Novel|Fantastic fiction,Green rider
mdp.39015014158185,000925092,17550481,PS3503.R167T69 1988,oclcid,"Bradbury, Ray,",1920-2012.,New York|Knopf|1988.,1988,nyu,,,Fiction,The Toynbee convector
mdp.39015066066682,004130003,44849075,PS3558.A443357K57 2000,fuzzymatch,"Hamilton, Laurell K.",,New York|Ballantine Books|2000.,2000,nyu,,Fairies|Fiction|Women private investigators,Fiction|Mystery fiction|Fantasy fiction,A kiss of shadows
uc1.32106002091707,000474714,90410,,taggedfantasy,"Bradbury, Ray,",1920-,New York|Knopf|1970.,1970,nyu,,"Horror tales, American|Fantasy fiction, American",Fiction,The October country; | stories.
uc1.32106013120784,007132737,30413449,,fuzzymatch,"Gentle, Mary",,"New York, N.Y., U.S.A.|ROC|1994], c1991",1991,nyu,,Fiction|Renaissance,Fiction,The architecture of desire
uc1.32106007308551,007104149,15486920,,taggedfantasy,"Oliphant, (Margaret), Mrs.",1828-1897.,Edinburgh|Scottish Academic|1985.,1985,stk,,"Fantasy fiction, English",Fiction,Selected short stories of the supernatural
mdp.39015066054712,003900649,20398572,,taggedfantasy,"Clayton, Jo.",,New York?|Guild America Books|c1989.,1986,nyu,,"Fiction|Fantasy fiction, American|Slavery",Novel|Fantastic fiction,The Soul drinker
mdp.39015054303394,003616274,11732429,,taggedfantasy,"Brown, Michael E.",,"Saline, Mich.|Expressive Images Studio|c1983.",1983,miu,,"Fantasy Fiction, American",Fiction,Ink bottle dreams
mdp.39015054059525,000474709,1807854,PZ3.B72453Oc,fuzzymatch,"Bradbury, Ray,",1920-2012.,New York|Ballantine Books|1955,1955,nyu,,,Fiction,"The October country, | $c: illustrated by Joe Mugnaini."
mdp.39015010299793,000111649,8094307,,fuzzymatch,"Goldstein, Lisa.",,New York|Pocket Books|c1982.,1982,nyu,,,Fiction,The red magician
uc1.$b56203,006575730,1182419,PZ3.P3132Ti,fuzzymatch,"Peake, Mervyn Laurence,",1911-1968.,New York|Reynal & Hitchcock|c1946,1946,xx ,,,NotFiction,"Titus Groan, | a gothic novel | $c: by Mervyn Peake."
mdp.39015025196075,002566481,24430033,PS3569.H415K5 1992,taggedfantasy,"Sherman, Charlotte Watson,",1958-,"Corvallis, Or.|Calyx Books|c1992.",1992,oru,,"Paranormal fiction|Fiction|African Americans|Fantasy fiction, American",Fiction|Short stories,Killing color
pst.000016380844,007491611,31682511,,fuzzymatch,"Pratchett, Terry.",,"New York|New American Library|1988, c1986.",1986,xx ,,,NotFiction,The light fantastic
mdp.39015002672585,000537202,1304139,PZ8.L48Si,fuzzymatch,"Lewis, C. S. (Clive Staples),",1898-1963.,London|G. Bles|1953,1953,enk,,,Fiction,The silver chair; | $c: with illus. by Pauline Baynes.
mdp.49015000898420,004472518,7667714,PZ7.G18417,fuzzymatch,"Garner, Alan,",1934-,"New York|Ballantine Books|1981, c1967.",1967,nyu,,Fiction,Fiction,The owl service
mdp.39015062594760,005083014,61280307,PS3557.A22B74 2005,fuzzymatch,"Gabaldon, Diana.",,New York|Delacorte Press|c2005.,2005,nyu,,"Fiction|Revolution, 1775-1783|History|Colonial period, ca. 1600-1775|Time travel",Fiction,A breath of snow and ashes
pst.000012368204,012257100,28488479,,fuzzymatch,"Alexander, Lloyd.",,New York|Dell Pub. Co.|1985.,1985,xx ,,,NotFiction,The black cauldron
mdp.39076000963608,009920908,13913723,,taggedfantasy,,,New York|DAW|1984-,0,nyu,v.3,Fantasy fiction,Fiction,Sword and sorceress : | an anthology of heroic fantasy
pst.000013974657,012257609,16680899,PS3569.P685H49 1988,oclcid,"Springer, Nancy.",,New York|Baen Books|1988.,1988,xxu,,,NotFiction,The hex witch of Seldom
mdp.39015026811342,000630795,12444001,PZ3.T576Lo5,fuzzymatch,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973.,Boston|Houghton Mifflin|1982-,1982,mau,v.2,,NotFiction,"The Lord of the Rings, | $c: by J. R. R. Tolkien."
pst.000029121120,007049627,2183540,PZ3.C4265M,fuzzymatch,"Chesterton, G. K. (Gilbert Keith),",1874-1936.,"New York|Dodd, Mead and company|1935].",1935,xx ,,,NotFiction,The man who was Thursday : | a nightmare
pst.000011216162,007055905,367083,,fuzzymatch,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1955].,1955,xx ,,,NotFiction,The magician's nephew
mdp.39015080880092,006491031,280403798,PR6104.E27A62 2009,oclcid,"Deas, Stephen,",1968-,London|Gollancz|2009.,2009,enk,,,Novel|Fantasy fiction,The Adamantine Palace
mdp.39015054025773,001025869,1487587,PZ3.T576Lo,oclcid,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,enk,pt.2,,Fiction,The lord of the rings.
mdp.39015005607919,001025869,1487587,PZ3.T576Lo,oclcid,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,enk,,,Fiction,The lord of the rings.
pst.000044416584,007496772,1861354,PZ7.D8787Fal,fuzzymatch,"Duggan, Maurice.",,New York|Criterion Books|c1958.,1958,xxu,D854fal 1958,,NotFiction,Falter Tom and the water boy.
osu.32435002940443,100586628,616197,,fuzzymatch,"Carroll, Lewis,",1832-1898.,New York|Grosset & Dunlap|1925?,1925,   ,,,UnknownGenre,"Alice's adventures in Wonderland, | and Through the looking-glass, | $c: by Lewis Carroll [pseud.] Complete in 1 vol. with illus. by John Tenniel."
mdp.39015069971276,005632768,22143548,PS3573.I45563S76 1990,fuzzymatch,"Williams, Tad.",,New York|DAW Books|Distributed by Penguin U.S.A.|1990.,1990,nyu,,,Novel|Fantastic fiction,Stone of farewell
mdp.39015046440544,001025869,1487587,PZ3.T576Lo,oclcid,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,enk,pt.2,,Fiction,The lord of the rings.
mdp.39015064103040,005228683,48644382,PS3602,taggedfantasy,"Berman, Steve.",,"Maple Shade, NJ|Lethe Press|2001.",2001,nju,,"Fiction|Paranormal fiction, American|Fantasy fiction, American|Gay men",Short stories,Trysts : | a triskaidecollection of queer and weird stories
mdp.39015070756401,005616470,126880806,PS3503.R22N6 2007,taggedfantasy,"Bradbury, Ray,",1920-,New York|Morrow|c2007,2007,nyu,,"Fantasy fiction, American|Science fiction, American",Fiction,Now and forever : | Somewhere a band is playing and Leviathan 99
mdp.39015020681998,000252674,3041903,,fuzzymatch,"Burroughs, Edgar Rice,",1875-1950.,"London|New English Library|1976, c1928.",1976,enk,,,Fiction,"Tarzan, lord of the jungle"
uc1.b4439246,009517563,7876002,,fuzzymatch,"Donaldson, Stephen R.",,New York|Ballantine Books|1982.,1982,nyu,,"Covenant, Thomas (Fictitious character)|Fiction",Fiction,The one tree
mdp.39076000948484,009920908,13913723,,taggedfantasy,,,New York|DAW|1984-,0,nyu,v.4,Fantasy fiction,Fiction,Sword and sorceress : | an anthology of heroic fantasy
mdp.39015017688303,000333077,66269727,,fuzzymatch,"Carter, Lin.",,"London|Scripts Publications|1970,c1968.",1970,enk,,,NotFiction,Tower at the edge of time
uc1.32106006444373,006838887,4135569,,taggedfantasy,"Beagle, Peter S.",,New York|Viking Press|1978.,1978,nyu,,"California|Santa Cruz County|Fantasy fiction, American|Authors, American",Fiction,The fantasy worlds of Peter Beagle
mdp.39076002897994,009933361,53037048,PR9199.4.S943T44 2004,fuzzymatch,"Sweet, Caitlin,",1970-,"Toronto|Penguin Canada|2004, c2003.",2003,onc,,Adventure stories|Teenage girls|Love stories|Fiction|Grief|Revenge,Novel,A telling of stars
mdp.39015032279591,002952652,30895962,PS3573.I45563C35 1994,fuzzymatch,"Williams, Tad.",,"New York, N.Y.|HarperPrism|c1994.",1994,nyu,,"Midsummer night's dream|Fiction|Shakespeare, William|1564-1616",Fiction|Fantastic fiction,Caliban's hour
mdp.39015059179518,100071594,20072623,,fuzzymatch,"Pratchett, Terry.",,Gerrards Cross|Colin Smythe|c1986.,1986,enk,,Magic|Fiction|Discworld (Imaginary place),Fantastic fiction|Novel,The light fantastic
mdp.39015006579224,000285325,9958761,,fuzzymatch,"Crowley, John,",1942-,"Toronto|New York|Bantam Books|c1983, c1981.",1981,onc,,,Fiction,"Little, big"
pst.000044906412,007050485,37882656,,fuzzymatch,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973.,"New York|Ballantine Books|1973, c1965].",1965,xx ,pt.2,,NotFiction,The Lord of the Rings
mdp.39076000963590,009920908,13913723,,taggedfantasy,,,New York|DAW|1984-,0,nyu,v.1,Fantasy fiction,Fiction,Sword and sorceress : | an anthology of heroic fantasy
pst.000018453423,012267770,21584537,PZ7.L58474Si,fuzzymatch,"Lewis, C. S. (Clive Staples),",1898-1963.,"New York|Macmillan Pub. Co.|1988, 1953.",1953,xx ,,,NotFiction,The silver chair
mdp.39015008828157,000205356,8603600,,fuzzymatch,"Vance, Jack,",1916-,"New York|Pocket Books|1977 printing, c1950.",0,nyu,,,Fiction,The dying earth
inu.30000085843278,008566776,50920630,PS3553.L3927W59 2002,fuzzymatch,"Clemens, James.",,New York|Ballantine Books|2002.,2002,nyu,,,Fiction|Fantasy fiction,Wit'ch star
mdp.39015059554652,004762270,55096711,PS3619.T479N54 2004,taggedfantasy,"Stevens, Francis.",,Lincoln|University of Nebraska Press|c2004.,2004,nbu,,"Horror tales, American|Fantasy fiction, American",Bibliographies|Short stories,"The nightmare, and other tales of dark fantasy"
mdp.49015002628478,004581321,12224359,PS648.F3T8 1985,taggedfantasy,,,"New York, N.Y.|Avon|c1985.",1985,nyu,,"Horror tales, American|Fantasy fiction, American",Fiction,The Twilight zone : | the original stories
mdp.39015025370241,002569782,3704514,,fuzzymatch,"Lindsay, Norman,",1879-1969.,Sydney|Angus and Robertson|1963.,1963,at ,,,NotFiction,The magic pudding : | being the adventures of Bunyip Bluegum and his friends Bill Barnacle and Sam Sawnoff
pst.000014855092,007056961,11887589,,oclcid,"Paxson, Diana L.",,New York|Berkley Books|1984.,1984,xx ,,,NotFiction,Brisingamen
mdp.39015017982573,002164188,21040589,PR5485.A1 1990,fuzzymatch,"Stevenson, Robert Louis,",1850-1894.,Lincoln|University of Nebraska Press|c1990.,1990,nbu,,,Fiction,The strange case of Dr. Jekyll and Mr. Hyde
mdp.39015010748435,000431469,9393093,PS3551.N73O5 1983,fuzzymatch,"Anthony, Piers.",,New York|Ballantine|c1983.,1983,nyu,,,Fiction,On a pale horse
uc1.32106007041848,007103387,12497568,,fuzzymatch,"Gunn, Neil Miller,",1891-1973.,London|Souvenir Press|1985.,1985,enk,,,Fiction,The well at the world's end
mdp.39015040694831,003152154,35113082,PS3558.A47614W35 1996,taggedfantasy,"Hannah, Christopher L.",,"Houston, Tex.|Tafford Pub.|c1996.",1996,txu,,"Fantasy fiction, American",Fiction,A walk in the garden
mdp.39015022235454,002534567,25196267,,taggedfantasy,"Wilson, Colin,",1931-,London|HarperCollins|1992.,1992,enk,,"Fantasy fiction, English|Fantasy fiction",Fiction,Spider world--the magician
mdp.39015056839684,003865987,7516610,,taggedfantasy,"Murphy, Shirley Rousseau.",,"New York|Avon|1979, c1977.",1977,nyu,,"Fiction|Children|Fantasy fiction, American|Prophets|Psychics",Fiction,The ring of fire
mdp.39015062063014,001230279,495122,PZ3.L5395MePG7158.L39,fuzzymatch,"Lem, Stanisław.",,New York|Seabury Press|1973,1973,nyu,,,Fiction,Memoirs found in a bathtub. | $c: Translated by Michael Kandel and Christine Rose.
pst.000019808628,008384993,27493010,,oclcid,"Forrestal, Elaine.",,"Ringwood, Victoria, Australia|Puffin Books|1991.",1991,xx ,,,NotFiction,The watching lake
mdp.49015000496233,004431684,8001150,PS648.F3D68,taggedfantasy,,,"New York, N.Y.|Ace Books|c1981.",1981,nyu,,"Fiction|Dragons|Fantasy fiction, American",Fiction,Dragons of darkness
uc1.32106007071217,001230279,495122,PZ3.L5395MePG7158.L39,fuzzymatch,"Lem, Stanisław.",,New York|Seabury Press|1973,1973,nyu,,,Fiction,Memoirs found in a bathtub. | $c: Translated by Michael Kandel and Christine Rose.
inu.30000011853938,007591303,22637,PZ3.F88W5PS1712,taggedfantasy,"Freeman, Mary Eleanor Wilkins,",1852-1930.,New York|Garrett Press|1969,1969,nyu,,"New England|Supernatural|Social life and customs | Fiction|Fiction|Fantasy fiction, American",Fiction,The wind in the rose-bush and other stories of the supernatural. | $c: Illustrated by Peter Newell.
mdp.39015047546117,001375299,6325796,,fuzzymatch,"Carroll, Lewis,",1832-1898.,New York [N.Y.|The Heritage Press|c1941.,1941,nyu,,,Fiction,Alice's adventures in wonderland
mdp.39076002617665,009929727,62709397,PR6039.O32L6,fuzzymatch,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973.,Boston|Houghton Mifflin Co.|c1982-c1983.,1982,mau,v.2,"Middle Earth (Imaginary place)|Baggins, Frodo (Fictitious character)|Fiction",Fiction,The lord of the rings
uc1.b4953196,009501049,4228567,,fuzzymatch,"Williams, Charles,",1886-1945.,London|Faber and Faber limited|1960.,1960,   ,,,NotFiction,All hallows' eve.
mdp.39015005906592,000323316,26893126,,fuzzymatch,"Bradbury, Ray,",1920-2012.,"New York|Bantam Books|1963, c1962.",1962,nyu,,,Fiction,Something wicked this way comes
