docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
nyp.33433074878319_0,nyp.33433074878319,62256,fantasy_loc,"Le Queux, William,",,New York;F.A. Stokes.;c1895.,1895,1895,,"Fantasy fiction, English",,Zoraida,1895,0.7361283324140461,1
uc2.ark+=13960=t79s1rx9c_0,uc2.ark+=13960=t79s1rx9c,29438,fantasy_oclc,"Morris, William,",,"Portland, Maine;Thomas B. Mosher;1900.",1900,1895,,,,Child Christopher and Goldilind the fair,1895,0.7040006222787656,1
mdp.39015057979646_0,mdp.39015057979646,41023,fantasy_oclc,"Carroll, Lewis,",,London;New York;Macmillan and Co.;1889.,1889,1889,,,,Sylvie and Bruno,1889,0.3176509712670541,1
uva.x000241492_0,uva.x000241492,39430,fantasy_oclc,"Verne, Jules,",,Philadelphia;Porter & Coates;1873,1873,1872,,,,Around the world in eighty days,1872,0.2702032623657674,1
dul1.ark+=13960=t6ww82n4s_0,dul1.ark+=13960=t6ww82n4s,54927,fantasy_loc,"Griffith, Mary,",,"Philadelphia;Carey, Lea & Blanchard;1836.",1836,1836,,"Science fiction, American",,"Camperdown, or, News from our neighbourhood",1836,0.32971316809980344,1
uc1.32106007308551_1,uc1.32106007308551,47820,fantasy_loc,"Oliphant, (Margaret), Mrs.",1828-1897.,Edinburgh|Scottish Academic|1985.,1985,1898,,"Fantasy fiction, English",Fiction,Selected short stories of the supernatural,1898,0.28073843722686065,1
nyp.33433034410229_2,nyp.33433034410229,81041,fantasy_oclc,"Corelli, Marie,",,London;Richard Bentley & Son;1890.,1890,1890,,English fiction,,"Ardath, the story of a dead self",1890,0.5412450629106329,1
nyp.33433074915343_0,nyp.33433074915343,55805,supernat|fantasy_oclc|sf_oclc,"Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,,,,The water of the Wondrous isles,1897,0.7542127935772426,1
inu.30000111816496_0,inu.30000111816496,69048,fantasy_oclc,"Chambers, Robert W. (Robert William),",1865-1933.,New York|Dover Publications|1970,1970,1895,,"Horror tales, American",Fiction,"The king in yellow, | and other horror stories. | $c: Selected with an introd. by E. F. Bleiler.",1895,0.7495483759176074,1
nyp.33433074878319_1,nyp.33433074878319,63637,fantasy_loc,"Le Queux, William,",,New York;F.A. Stokes.;c1895.,1895,1895,,"Fantasy fiction, English",,Zoraida,1895,0.6523507592401043,1
uc1.b4585229_0,uc1.b4585229,43166,fantasy_loc,,,Portmarnock [Ire.|Wolfhound Press|c1979.,1979,1894,,"Irish authors|English fiction|Fantasy fiction, English",Fiction,Irish masters of fantasy : | an anthology with introduction and biographical essays,1894,0.7404865185743482,1
