docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
uc1.31822038205001_1,uc1.31822038205001,39876,supernat,"Poe, Edgar Allan,",,London;Wiley and Putnam;1838,1838,1838,,,,"The narrative of Arthur Gordon Pym [pseud.] of Nantucket, North America",1838,0.06443234193937543,1
uc1.31158001441749_1,uc1.31158001441749,35286,supernat,"Maturin, Charles Robert,",,"Edinburgh;A. Constable and Company; [etc., etc.;1821.",1821,1821,v.0001,,,Melmoth the wanderer: a tale,1821,0.7000298444364561,1
uc1.31822038205001_0,uc1.31822038205001,41326,supernat,"Poe, Edgar Allan,",,London;Wiley and Putnam;1838,1838,1838,,,,"The narrative of Arthur Gordon Pym [pseud.] of Nantucket, North America",1838,0.23548900953065954,1
uc1.$b807329_1,uc1.$b807329,55921,fantasy_oclc,"Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,1835,0.1956243618736413,1
uc1.32106001951109_1,uc1.32106001951109,38846,fantasy_loc,"Scott, Walter, Sir,",1771-1832.,London|J. Calder|c1977.,1977,1830,,"Fiction|Fantasy fiction, English",Fiction,The supernatural short stories of Sir Walter Scott,1830,0.579982425093286,1
njp.32101072759879_2,njp.32101072759879,56180,supernat,"Scott, Walter,",,Edinburgh;A. and C. Black;1868.,1868,1825,,,,The talisman,1825,0.5614089879528131,1
mdp.39015011608810,mdp.39015011608810,27492,supernat,"Eliot, George,",1819-1880.,"New York, N.Y.|Penguin Books--Virago Press|1985.",1985,1859,,,Fiction,The lifted veil / | $c: George Eliot ; with a new afterword by Beryl Gray.,1859,0.6886244933791269,1
uc1.32106007514398,uc1.32106007514398,53463,fantasy_oclc,"Andersen, H. C. (Hans Christian),",1805-1875.,"Harmondsworth, Middlesex|Penguin Books|1981.",1981,1844,,Fairy tales|Denmark,NotFiction,Hans Andersen's fairy tales,1844,0.8741979217952037,1
mdp.39015066637433_1,mdp.39015066637433,32095,fantasy_oclc,"MacDonald, George,",,Philadelphia;J.B. Lippincott;190?,1900,1872,,,,The princess and the goblin,1872,0.8077608254821486,1
uiuo.ark+=13960=t00z7vf65,uiuo.ark+=13960=t00z7vf65,57527,fantasy_oclc,"Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,v. 1,,,The professor,1857,0.5614405604360542,1
uiuo.ark+=13960=t5v70457m_1,uiuo.ark+=13960=t5v70457m,33411,fantasy_oclc,"Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,v. 2,,,The professor,1857,0.5250643067886196,1
