docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
pst.000005477456_1,pst.000005477456,40156,sf_oclc,"Watson, Ian,",1943-,New York|Scribner|c1973].,1973,1973,,,NotFiction,The embedding.,1973,0.9993643122726807,1
mdp.39015003897603_0,mdp.39015003897603,41475,sf_loc,"Abe, K��b��,",1924-1993.,New York|Knopf|c1970.,1970,1970,,Science fiction,Fiction,Inter ice age 4,1970,0.17464488145706003,1
mdp.39015010748443_2,mdp.39015010748443,88888,sf_loc,"Harrison, Harry,",,"Garden City, N.Y.|Doubleday|1972-",1943,1972,v.1,"Science fiction, American|Science fiction, English",Fiction,"The astounding-analog reader, | $c: edited by Harry Harrison [and] Brian W. Aldiss.",1972,0.9996673319322762,1
mdp.39015066688105_0,mdp.39015066688105,41074,sf_oclc,"Coblentz, Stanton Arthur,",1896-1982.,"New York|Garland Pub.|1975, c1950.",1975,1975,,,Fiction,"After 12,000 years",1975,0.99487575798491,1
mdp.39015066688246_0,mdp.39015066688246,57388,sf_oclc,"Williamson, Jack,",1908-2006.,"New York|Garland Pub.|1975, c1948.",1975,1975,,,Fiction,Darker than you think,1975,0.9735370152018948,1
mdp.39015066688105_1,mdp.39015066688105,41024,sf_oclc,"Coblentz, Stanton Arthur,",1896-1982.,"New York|Garland Pub.|1975, c1950.",1975,1975,,,Fiction,"After 12,000 years",1975,0.9829186921669851,1
mdp.39015003449231,mdp.39015003449231,56322,sf_loc,"Bradbury, Ray,",1920-2012.,"St. Albans, Herts.|Panther|1976.",1976,1976,,"Science fiction, American",Fiction,The small assassin.,1976,0.6419661728932378,1
inu.39000003578593_1,inu.39000003578593,49716,sf_oclc,"Roberts, Keith,",1935-,"New York|Putnam|1975, c1973.",1975,1975,,,Fiction,The chalk giants,1975,0.9980103132446633,1
mdp.39015046878727_1,mdp.39015046878727,32379,sf_oclc,"Butler, Octavia E.",,"Garden City, N.Y.|Doubleday|c1976.",1976,1976,,,Fiction|Science fiction,Patternmaster,1976,0.9973452303988694,1
mdp.39015033871693_1,mdp.39015033871693,35985,sf_loc,"Anderson, Poul,",1926-2001.,Boston|Gregg Press|1978.,1978,1978,,"Science fiction, American",Fiction,The horn of time,1978,0.9981550144115463,1
pst.000019717371_1,pst.000019717371,42846,sf_loc,"Elwood, Roger,",,New York|Putnam|1974-,0,1974,v.1,"Science fiction, American",NotFiction,Continuum.,1974,0.6232989476434765,1
mdp.39015022220357_1,mdp.39015022220357,31484,sf_oclc,"Sturgeon, Theodore.",,"Garden City, N.Y.|Doubleday|c1974.",1974,1974,,Fantasy fiction,Fiction,Case and the dreamer,1974,0.7453080394170616,1
mdp.39015022220357_0,mdp.39015022220357,29052,sf_oclc,"Sturgeon, Theodore.",,"Garden City, N.Y.|Doubleday|c1974.",1974,1974,,Fantasy fiction,Fiction,Case and the dreamer,1974,0.9978092520799436,1
mdp.39015054075612_1,mdp.39015054075612,46334,sf_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Harcourt Brace Jovanovich|c1979.,1979,1979,,,Fiction,The fountains of Paradise,1979,0.9999712056613365,1
mdp.39015019169294_0,mdp.39015019169294,49764,sf_oclc,"Leiber, Fritz,",1910-1992.,London|Mayflower|1970.,1970,1970,,,Fiction,The swords of Lankhmar.,1970,0.9993726199837957,1
mdp.39015012212620_1,mdp.39015012212620,78598,sf_oclc,"Niven, Larry.",,New York|Simon and Schuster|1974,1974,1974,,,Fiction,"The mote in God's eye, | $c: by Larry Niven and Jerry Pournelle.",1974,0.9998949520519044,1
mdp.39015058074553_0,mdp.39015058074553,39881,fantasy_loc|sf_oclc,,,"Garden City, N.Y.|Nelson Doubleday|c1973-",0,1973,v.5,"Magic|Fiction|Short stories, American|Swordsmen|Fantasy fiction, American",Short stories,Flashing swords!,1973,0.9998599929551175,1
mdp.39015046878727_0,mdp.39015046878727,32064,sf_oclc,"Butler, Octavia E.",,"Garden City, N.Y.|Doubleday|c1976.",1976,1976,,,Fiction|Science fiction,Patternmaster,1976,0.9439580988700108,1
mdp.49015002601962_2,mdp.49015002601962,60922,sf_oclc,"Tilley, Patrick.",,New York|Morrow|1975.,1975,1975,,,Fiction|Science fiction,Fade-out,1975,0.9999414203257853,1
pst.000010058275_0,pst.000010058275,43255,sf_oclc,"De Camp, L. Sprague (Lyon Sprague),",1907-2000,Philadelphia|Owlswick Press|1977.,1977,1977,,,NotFiction,The Tritonian ring,1977,0.7747046327310351,1
pst.000044896492_0,pst.000044896492,35278,sf_oclc,"Wibberley, Leonard,",1915-1983,"Mattituck, N.Y.|Amereon House|1979, c1955.",1979,1979,,Fiction|International relations,Fiction|Science fiction,The mouse that roared,1979,0.8586502010452246,1
mdp.39015007043337_0,mdp.39015007043337,45695,sf_oclc,"Dick, Philip K.",,"St. Albans, Herts|Panther|1976, c1974.",1976,1976,,,Fiction,"Flow my tears, the policeman said",1976,0.8573307107272962,1
pst.000021120350_0,pst.000021120350,43671,sf_oclc,"Knight, Damon,",1922-2002,Los Angeles|Pinnacle Books|c1971.,0,1971,,,NotFiction,First contact,1971,0.999981265639724,1
mdp.39015001430548_0,mdp.39015001430548,41063,sf_oclc,"Barjavel, Ren̩,",1911-,London|Hart-Davis|1970.,1970,1970,,,Fiction,The ice people; | $c: translated from the French by Charles Lam Markmann.,1970,0.9994852696000565,1
pst.000068149192_1,pst.000068149192,44611,sf_loc,"De Camp, L. Sprague (Lyon Sprague),",1907-2000.,"New York|Ballantine Books|1979,1974.",1974,1974,,Science fiction,Science fiction|Fiction,Lest darkness fall,1974,0.6804366994252138,1
inu.39000003644007_1,inu.39000003644007,44789,sf_oclc,"McCaffrey, Anne.",,London|Dent|1974 [i.e. 1975,1975,1975,,,Fiction,To ride Pegasus,1975,0.9988317207180673,1
inu.39000003578593_0,inu.39000003578593,43904,sf_oclc,"Roberts, Keith,",1935-,"New York|Putnam|1975, c1973.",1975,1975,,,Fiction,The chalk giants,1975,0.9942870862409339,1
mdp.39015019169294_1,mdp.39015019169294,49617,sf_oclc,"Leiber, Fritz,",1910-1992.,London|Mayflower|1970.,1970,1970,,,Fiction,The swords of Lankhmar.,1970,0.999798428365536,1
pst.000050047673_2,pst.000050047673,90989,sf_loc,,,New York|New American Library|c1977-,0,1975,no.3,"Science fiction, English|Science fiction, American",NotFiction,The Road to science fiction,1975,0.9952088419165696,1
mdp.39015010748443_0,mdp.39015010748443,87177,sf_loc,"Harrison, Harry,",,"Garden City, N.Y.|Doubleday|1972-",1943,1972,v.1,"Science fiction, American|Science fiction, English",Fiction,"The astounding-analog reader, | $c: edited by Harry Harrison [and] Brian W. Aldiss.",1972,0.9999744832903711,1
pst.000005477456_0,pst.000005477456,42953,sf_oclc,"Watson, Ian,",1943-,New York|Scribner|c1973].,1973,1973,,,NotFiction,The embedding.,1973,0.9970833385656606,1
mdp.39015033871693_0,mdp.39015033871693,33706,sf_loc,"Anderson, Poul,",1926-2001.,Boston|Gregg Press|1978.,1978,1978,,"Science fiction, American",Fiction,The horn of time,1978,0.9999033832633002,1
mdp.39015019934069_1,mdp.39015019934069,40246,sf_oclc,"Williamson, Jack,",1908-2006.,"New York|Garland Pub.|1975, c1947.",1975,1975,,,Fiction,The legion of space,1975,0.9999954972822994,1
mdp.39015003969873_2,mdp.39015003969873,66914,sf_loc,,,"Garden City, N.Y.|Doubleday|1979.",1979,1979,,"Science fiction, American|Detective and mystery stories, American",Fiction,The 13 crimes of science fiction,1979,0.9537882882422581,1
uc1.b4432430_0,uc1.b4432430,43622,sf_loc,"Biggle, Lloyd,",1923-2002,"Garden City, N.Y.|Doubleday|1976.",1976,1976,,"Science fiction, American",Fiction,A galaxy of strangers,1976,0.9841153376897518,1
