docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
uc1.32106015190207_1,uc1.32106015190207,80105,sf_oclc,"Tepper, Sheri S",,"New York|Bantam Books|1994, c1993",1994,1994,,,Fiction,A plague of angels,1994,0.9967716377806655,1
mdp.39015060636746_1,mdp.39015060636746,84137,sf_loc,"Adams, Douglas,",1952-2001.,New York|Wings Books|1996.,1996,1996,,"Humorous stories, English|Fiction|Prefect, Ford (Fictitious character)|Science fiction, English|Dent, Arthur (Fictitious character)",Fiction,The ultimate hitchhiker's guide,1996,0.9990903270989799,1
uc1.32106013034282_2,uc1.32106013034282,57224,sf_loc,"Greenland, Colin,",1954-,"New York|Avon Books|1992, c1990",1990,1990,,"Science fiction, English",Fiction,Take back plenty,1990,0.9679516455738155,1
uc1.32106010372289_2,uc1.32106010372289,74457,sf_loc,"Tepper, Sheri S.",,"New York|Bantam Books|1991, c1990.",1991,1991,,"Science fiction, American",Fiction,Raising the stones,1991,0.9990913235547134,1
mdp.39015041888606_2,mdp.39015041888606,40392,sf_loc,"Robinson, Kim Stanley.",,New York|Bantam Books|1999.,1999,1999,,"Fiction|Science fiction, American",Fiction,The Martians,1999,0.9990825693736786,1
mdp.39015032718663_2,mdp.39015032718663,72822,sf_oclc,"Eddings, David.",,New York|Ballantine Books|1994.,1994,1994,,,Fiction|Fantastic fiction,The hidden city,1994,0.9998695823897846,1
mdp.49015002972413_0,mdp.49015002972413,57441,sf_oclc,"Tyers, Kathy.",,New York|Bantam Books|1994.,1994,1994,,,Fiction,The truce at Bakura,1994,0.9999291198684013,1
uc1.32106014945080_2,uc1.32106014945080,63736,sf_oclc,"Friedman, C. S",,"New York, NY|DAW Books|Distributed by Penguin Putnam|c1998",1998,1998,,Fiction|Space colonies,Fiction,This alien shore,1998,0.9999970009938525,1
mdp.39015049991212_1,mdp.39015049991212,35664,sf_oclc,,,Edinburgh [Scotland|Polygon|c1999.,1999,1999,,"Fiction|Detective and mystery stories, Scottish",Fiction,Something wicked : | Scottish crime fiction,1999,0.006233453291567907,1
mdp.39015062083913_1,mdp.39015062083913,47276,sf_oclc,"Vonnegut, Kurt.",,New York|Putnam's|c1990.,1990,1990,,"Fiction|Vietnam War, 1961-1975",Fiction,Hocus pocus,1990,0.00706476230309956,1
mdp.39015025257935_2,mdp.39015025257935,50269,sf_loc,,,New York|Bantam Books|c1992.,1992,1992,,"Science fiction, American",Science fiction|Fiction,Murasaki : | a novel in six parts,1992,0.9999967971642365,1
mdp.39015061386812_0,mdp.39015061386812,46014,fantasy_loc|sf_loc,,,"Harrisonville, Mo.|ESA Publications|1991-",0,1991,v.1,"Fantasy tales, American|Horror tales, American|Middle West|Science fiction, American",Short stories,"Best of the Midwest's science fiction, fantasy & horror",1991,0.6323181595117002,1
mdp.39015050309551_0,mdp.39015050309551,48939,sf_loc,"Sherman, Delia",,"Cambridge, MA|Circlet Press|1999.",1999,1999,,Science fiction,Fiction,Through a brazen mirror : | the famous flower of Servingmen,1999,0.05192360827462752,1
pst.000024657594_0,pst.000024657594,57212,sf_loc,,,New York|Donald I. Fine|c1992.,1992,1992,,Literary collections|Science fiction|Fiction|Crime,NotFiction,FutureCrime :  | an anthology of the shape of crime to come,1992,0.6049615553029777,1
mdp.39015069971276_0,mdp.39015069971276,81343,sf_oclc,"Williams, Tad.",,New York|DAW Books|Distributed by Penguin U.S.A.|1990.,1990,1990,,,Novel|Fantastic fiction,Stone of farewell,1990,0.983776184865372,1
uc1.32106014945080_0,uc1.32106014945080,72176,sf_oclc,"Friedman, C. S",,"New York, NY|DAW Books|Distributed by Penguin Putnam|c1998",1998,1998,,Fiction|Space colonies,Fiction,This alien shore,1998,0.9999998381769577,1
mdp.39015057976790_0,mdp.39015057976790,72619,sf_oclc,"Stephenson, Neal.",,New York|Bantam Books|c1995.,1995,1995,,,Fiction,"The diamond age,[or, Young lady's illustrated primer]/ | $c: Neal Stephenson.",1995,0.9738206172279943,1
uc1.32106018321726_0,uc1.32106018321726,65650,sf_oclc,"Haldeman, Joe W",,New York|Ace Books|1997,1997,1997,,Fiction|Imaginary wars and battles,Fiction|War stories|Science fiction|Psychological fiction,Forever peace,1997,0.29178552562482896,1
mdp.39015041888606_1,mdp.39015041888606,55575,sf_loc,"Robinson, Kim Stanley.",,New York|Bantam Books|1999.,1999,1999,,"Fiction|Science fiction, American",Fiction,The Martians,1999,0.9991410933308957,1
uc1.32106015190207_2,uc1.32106015190207,75985,sf_oclc,"Tepper, Sheri S",,"New York|Bantam Books|1994, c1993",1994,1994,,,Fiction,A plague of angels,1994,0.9998883905406208,1
pst.000032574937_1,pst.000032574937,45933,sf_loc,"Doherty, Robert.",,"New York, N.Y.|Dell Books|1998.",1998,1998,,Science fiction|Space ships|Fiction|Unidentified flying objects,NotFiction,"Area 51, the reply",1998,0.9998727946124393,1
mdp.39015062083913_0,mdp.39015062083913,48126,sf_oclc,"Vonnegut, Kurt.",,New York|Putnam's|c1990.,1990,1990,,"Fiction|Vietnam War, 1961-1975",Fiction,Hocus pocus,1990,0.0009723121574272093,1
mdp.39015024891734_0,mdp.39015024891734,52536,sf_oclc,"McCaffrey, Anne.",,"New York, N.Y.|Ballantine Books|1990.",1990,1990,,,Science fiction|Fiction,Pegasus in flight,1990,0.9996372105939461,1
mdp.49015002036805_1,mdp.49015002036805,88429,sf_oclc,Starhawk.,,New York|Bantam Books|1993.,1993,1993,,Fiction,Fiction|Utopias|Dystopias,The fifth sacred thing,1993,0.9328952549180618,1
mdp.39015028478330_1,mdp.39015028478330,66876,sf_oclc,"Asimov, Isaac,",1920-1992.,New York|Foundation Book|c1992.,1992,1992,,Fiction,Science fiction|Fiction,The ugly little boy,1992,0.9984152583928326,1
mdp.49015002036805_2,mdp.49015002036805,86030,sf_oclc,Starhawk.,,New York|Bantam Books|1993.,1993,1993,,Fiction,Fiction|Utopias|Dystopias,The fifth sacred thing,1993,0.9811516438195466,1
mdp.49015002972413_1,mdp.49015002972413,58135,sf_oclc,"Tyers, Kathy.",,New York|Bantam Books|1994.,1994,1994,,,Fiction,The truce at Bakura,1994,0.9997077461741162,1
mdp.39015054262236_1,mdp.39015054262236,77691,sf_loc,,,"Garden City, NY|Doubleday Direct|c1998.",1998,1998,,"Fiction|Horror tales, American|Fantasy fiction, American|Taboo|Science fiction, American",Fiction,Don't open this book!,1998,0.8520993833110851,1
mdp.39015046841915_1,mdp.39015046841915,34243,sf_oclc,"Bester, Alfred.",,New York|Vintage Books|1998.,1998,1998,,,Fiction,Psycho shop,1998,0.967801871418487,1
mdp.39015024891734_1,mdp.39015024891734,52809,sf_oclc,"McCaffrey, Anne.",,"New York, N.Y.|Ballantine Books|1990.",1990,1990,,,Science fiction|Fiction,Pegasus in flight,1990,0.9672677589258935,1
uc1.32106013034282_1,uc1.32106013034282,57628,sf_loc,"Greenland, Colin,",1954-,"New York|Avon Books|1992, c1990",1990,1990,,"Science fiction, English",Fiction,Take back plenty,1990,0.9966727150675276,1
