docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
hvd.hn3gcd_1,hvd.hn3gcd,31095,mudiesoccult,"Kingsland, William",,,1891,1891,,,,The Mystic Quest: A Tale of Two Incarnations,1891,0.9969394073222002,1
hvd.hnnbe7,hvd.hnnbe7,57566,mudiesoccult,"Pain, Barry",,,1902,1902,,,,The One Before,1902,0.6317541393497857,1
nyp.33433076050818,nyp.33433076050818,29012,mudiesoccult,"Peattie, Elia W",,,1898,1898,,,,"The Shape of Fear, and Other Ghostly Tales",1898,0.7954257520132244,1
uc1.31175000633050_1,uc1.31175000633050,50886,mudiesoccult,"Baring-Gould, S",,,1904,1904,,,,A Book of Ghosts,1904,0.4187856749175447,1
uc1.$b111929_1,uc1.$b111929,57151,mudiesoccult,"Crawford, F. Marion",,,1901,1896,,,,Taquisara,1896,0.6776921335309641,1
mdp.39015000638711,mdp.39015000638711,42269,mudiesoccult|fantasy_loc,"Le Fanu, Joseph Sheridan",1814-1873.,New York|Garland Pub.|1979.,1978,1880,v.2,"Fantasy fiction, English",Fiction|Bibliographies,The Purcell papers,1880,0.5690322641077508,1
mdp.39015063543550_1,mdp.39015063543550,37904,mudiesoccult,"Stead, William Thomas",,,1921,1892,,,,Real Ghost Stories,1892,0.8949596299747845,1
nyp.33433074875745,nyp.33433074875745,48431,mudiesoccult|sf_bailey,"MacDonald, George",,"London;Smith, Elder and Co.;1864.",1864,1860,,English fiction;Scottish authors,,The portent,1860,0.9408472000127049,1
hvd.hn3gcd_0,hvd.hn3gcd,29809,mudiesoccult,"Kingsland, William",,,1891,1891,,,,The Mystic Quest: A Tale of Two Incarnations,1891,0.9991416144848229,1
uc1.$b111929_0,uc1.$b111929,58621,mudiesoccult,"Crawford, F. Marion",,,1901,1896,,,,Taquisara,1896,0.6060474672668144,1
uc2.ark+=13960=t9r20w429,uc2.ark+=13960=t9r20w429,51243,supernat|mudiesoccult|sf_oclc|fantasy_oclc,"Stevenson, Robert Louis",,London;Longmans;1901.,1901,1886,,,,The strange case of Dr. Jekyll and Mr. Hyde,1886,0.8270486900136124,1
pst.000012267491_0,pst.000012267491,52073,mudiesoccult,"James, Henry",,,1898,1898,,,,The Two Magics,1898,0.7893937592618325,1
mdp.39015063917887,mdp.39015063917887,32221,mudiesoccult,"Dawson, William James",,,1897,1897,,,,The House of Dreams,1897,0.9948987736279886,1
mdp.39015063543550_0,mdp.39015063543550,36902,mudiesoccult,"Stead, William Thomas",,,1921,1892,,,,Real Ghost Stories,1892,0.9934647512783661,1
nyp.33433074946165_1,nyp.33433074946165,55304,mudiesoccult,"Allonby, Edith",,,1903,1903,,,,Jewel Sowers,1903,0.582752470489123,1
pst.000012267491_1,pst.000012267491,60691,mudiesoccult,"James, Henry",,,1898,1898,,,,The Two Magics,1898,0.462863868807999,1
hvd.32044090344136,hvd.32044090344136,53742,mudiesoccult,"James, Montague Rhodes",,,1904,1904,,,,Ghost Stories of an Antiquary,1904,0.8008455041469711,1
uc1.a0001383124_1,uc1.a0001383124,31789,mudiesoccult,"Van Dyke, Henry",,,1902,1902,,,,The Blue Flower,1902,0.27355879049126663,1
uc1.a0001383124_0,uc1.a0001383124,30505,mudiesoccult,"Van Dyke, Henry",,,1902,1902,,,,The Blue Flower,1902,0.44449925519759875,1
